Region,Altitude,Mois,Saison,SOC,Clay,Nitrogen,CEC,Temp,Hum,pH,Lux,CE,Crop
Haute Matsiatra,1309.0,1,0,24.1,24.9,18.2,12.7,21.0,71.3,7.2,53321.0,1261.0,Orange
Amoron'i Mania,1279.0,7,1,31.1,27.9,19.6,13.9,13.2,69.4,6.0,43037.0,1418.0,Pomme_de_Terre
Menabe,150.0,12,0,23.9,28.2,16.9,14.4,20.5,68.9,5.7,50244.0,910.0,Riz_Plateau
Sofia,124.0,6,1,24.8,23.3,16.4,10.2,29.8,80.1,6.4,55889.0,718.0,Riz_Decrue
Haute Matsiatra,1361.0,5,1,24.1,24.9,18.2,12.7,18.8,50.1,6.3,36316.0,819.0,Haricot_CS
Analamanga,1579.0,5,1,23.4,27.6,19.5,16.3,16.6,78.6,6.3,52174.0,821.0,Fraise
Amoron'i Mania,1498.0,6,1,31.1,27.9,19.6,13.9,18.8,79.0,6.3,49467.0,738.0,Pomme
Analamanga,1283.0,7,1,23.4,27.6,19.5,16.3,25.9,74.9,6.2,45485.0,1965.0,Tomate
Diana,32.0,6,1,30.8,26.1,20.5,24.4,24.8,62.0,6.3,39557.0,807.0,Oignon
Analanjirofo,74.0,11,0,54.8,35.0,29.5,18.5,20.0,70.3,5.0,64249.0,626.0,Litchi
Atsimo-Andrefana,289.0,5,1,25.3,27.9,10.9,14.1,26.3,52.8,7.3,42505.0,1673.0,Pois_du_Cap
Analamanga,1255.0,4,0,23.4,27.6,19.5,16.3,17.6,84.8,5.7,34205.0,572.0,Fraise
Haute Matsiatra,1516.0,5,1,24.1,24.9,18.2,12.7,15.5,58.4,6.9,35613.0,398.0,Haricot_CS
Analamanga,1434.0,7,1,23.4,27.6,19.5,16.3,12.3,81.5,6.2,29740.0,1314.0,Pomme_de_Terre
Sofia,22.0,1,0,24.8,23.3,16.4,10.2,18.7,61.4,6.9,39934.0,835.0,Haricot
Atsinanana,234.0,11,0,60.7,39.8,32.2,16.4,25.5,70.3,6.2,53925.0,803.0,Litchi
Analanjirofo,37.0,11,0,54.8,35.0,29.5,18.5,29.4,87.4,6.6,61405.0,668.0,Banane
Menabe,299.0,6,1,23.9,28.2,16.9,14.4,27.6,38.7,6.4,45867.0,1060.0,Pois_du_Cap
Menabe,203.0,10,1,23.9,28.2,16.9,14.4,24.8,66.0,6.5,56769.0,1061.0,Mangue
Analanjirofo,8.0,12,0,54.8,35.0,29.5,18.5,29.7,76.4,6.9,56197.0,657.0,Banane
Vakinankaratra,1716.0,6,1,36.1,33.3,28.2,15.2,12.3,65.2,6.3,38035.0,682.0,Pomme
SAVA,362.0,12,0,64.8,36.6,48.0,20.9,21.1,85.6,6.0,66866.0,831.0,Litchi
Itasy,1472.0,6,1,28.4,33.2,25.5,14.3,17.4,72.2,5.8,29194.0,559.0,Fraise
SAVA,370.0,1,0,64.8,36.6,48.0,20.9,13.4,67.6,6.7,42383.0,683.0,Haricot
Atsinanana,185.0,12,0,60.7,39.8,32.2,16.4,26.9,85.7,5.4,49820.0,728.0,Litchi
Atsinanana,235.0,11,0,60.7,39.8,32.2,16.4,26.2,76.4,4.6,48702.0,699.0,Ananas
Atsimo-Andrefana,102.0,5,1,25.3,27.9,10.9,14.1,27.7,25.9,6.7,47209.0,548.0,Sorgho_CS
Analamanga,1579.0,5,1,23.4,27.6,19.5,16.3,21.7,65.5,6.0,44004.0,1192.0,Tomate
Androy,231.0,5,1,14.8,24.7,10.9,22.8,33.4,42.5,7.0,42974.0,1889.0,Sorgho_CS
Amoron'i Mania,1557.0,5,1,31.1,27.9,19.6,13.9,13.3,79.2,5.7,30848.0,1139.0,Pomme_de_Terre
Itasy,1395.0,2,0,28.4,33.2,25.5,14.3,21.8,75.1,6.9,33550.0,576.0,Haricot
Itasy,1262.0,5,1,28.4,33.2,25.5,14.3,15.4,77.1,6.5,26379.0,452.0,Fraise
Menabe,105.0,6,1,23.9,28.2,16.9,14.4,27.6,43.1,6.3,43124.0,1104.0,Pois_du_Cap
Atsinanana,390.0,12,0,60.7,39.8,32.2,16.4,21.8,76.9,6.2,51467.0,532.0,Litchi
Amoron'i Mania,1289.0,7,1,31.1,27.9,19.6,13.9,17.3,66.9,6.0,38911.0,643.0,Pomme
Analamanga,1396.0,7,1,23.4,27.6,19.5,16.3,19.5,63.5,6.1,51809.0,1141.0,Tomate
Sofia,122.0,12,0,24.8,23.3,16.4,10.2,27.3,42.4,6.6,58974.0,1975.0,Sorgho
Menabe,193.0,11,0,23.9,28.2,16.9,14.4,24.5,92.7,5.3,42955.0,1445.0,Riz_Bas_Fonds
Diana,294.0,12,0,30.8,26.1,20.5,24.4,25.5,63.3,6.4,50517.0,813.0,Mangue
Analamanga,1185.0,5,1,23.4,27.6,19.5,16.3,24.5,84.9,6.2,37007.0,627.0,Fraise
SAVA,174.0,11,0,64.8,36.6,48.0,20.9,25.5,82.5,6.5,47905.0,618.0,Litchi
Amoron'i Mania,1766.0,6,1,31.1,27.9,19.6,13.9,11.6,67.4,6.8,42285.0,987.0,Pomme
Sofia,5.0,6,1,24.8,23.3,16.4,10.2,23.2,88.6,5.4,54233.0,1250.0,Riz_Decrue
Betsiboka,344.0,6,1,27.9,23.7,28.2,10.9,31.0,82.0,5.2,39106.0,963.0,Riz_Decrue
Alaotra-Mangoro,962.0,1,0,16.6,25.9,13.3,14.3,28.3,65.4,6.7,54940.0,554.0,Maïs
Vakinankaratra,1446.0,6,1,36.1,33.3,28.2,15.2,12.6,72.7,5.8,56789.0,960.0,Pomme
Menabe,53.0,7,1,23.9,28.2,16.9,14.4,23.2,92.6,6.0,50795.0,1232.0,Riz_Decrue
Diana,436.0,11,0,30.8,26.1,20.5,24.4,30.0,54.2,5.8,53734.0,668.0,Mangue
Sofia,294.0,6,1,24.8,23.3,16.4,10.2,26.5,64.4,6.9,36442.0,1000.0,Oignon
Vakinankaratra,1288.0,6,1,36.1,33.3,28.2,15.2,23.1,49.1,7.1,49424.0,351.0,Haricot_CS
Haute Matsiatra,1172.0,6,1,24.1,24.9,18.2,12.7,12.0,75.4,5.8,44085.0,1424.0,Pomme_de_Terre
Atsinanana,360.0,9,1,60.7,39.8,32.2,16.4,29.3,72.6,4.8,55501.0,639.0,Ananas
Anosy,482.0,7,1,19.2,22.4,16.0,15.2,25.4,65.4,6.2,38556.0,791.0,Oignon
Diana,391.0,2,0,30.8,26.1,20.5,24.4,25.0,64.4,7.3,42664.0,869.0,Orange
Alaotra-Mangoro,1168.0,8,1,16.6,25.9,13.3,14.3,25.8,91.6,5.3,40787.0,1440.0,Riz_Decrue
Amoron'i Mania,1115.0,11,0,31.1,27.9,19.6,13.9,27.8,64.8,6.4,55943.0,1197.0,Maïs
Diana,88.0,5,1,30.8,26.1,20.5,24.4,27.9,66.2,6.7,43903.0,1057.0,Oignon
Alaotra-Mangoro,1074.0,11,0,16.6,25.9,13.3,14.3,31.5,57.3,5.7,36636.0,1105.0,Arachide
Bongolava,869.0,11,0,24.5,32.2,18.9,13.2,22.7,62.3,6.7,52006.0,945.0,Maïs
Menabe,307.0,5,1,23.9,28.2,16.9,14.4,28.4,81.7,6.4,37948.0,1529.0,Riz_Decrue
Atsimo-Andrefana,103.0,5,1,25.3,27.9,10.9,14.1,23.8,52.7,7.1,42198.0,1628.0,Pois_du_Cap
Androy,150.0,1,0,14.8,24.7,10.9,22.8,19.6,69.1,6.6,50892.0,376.0,Haricot
Itasy,1275.0,5,1,28.4,33.2,25.5,14.3,21.7,72.2,6.6,35486.0,1643.0,Tomate
Vakinankaratra,1326.0,5,1,36.1,33.3,28.2,15.2,20.7,71.0,6.5,46933.0,662.0,Fraise
Haute Matsiatra,1258.0,12,0,24.1,24.9,18.2,12.7,23.5,95.4,5.8,43378.0,582.0,Riz_Bas_Fonds
Haute Matsiatra,1238.0,8,1,24.1,24.9,18.2,12.7,20.8,84.7,6.0,32645.0,594.0,Pomme_de_Terre
Atsinanana,189.0,12,0,60.7,39.8,32.2,16.4,21.4,78.9,5.8,45278.0,884.0,Riz_Plateau
Atsinanana,212.0,11,0,60.7,39.8,32.2,16.4,25.6,86.8,5.2,43556.0,352.0,Litchi
Analanjirofo,87.0,12,0,54.8,35.0,29.5,18.5,28.7,80.5,5.9,47810.0,1210.0,Banane
Bongolava,911.0,6,1,24.5,32.2,18.9,13.2,16.1,48.0,6.2,29869.0,1093.0,Haricot_CS
Atsimo-Andrefana,456.0,6,1,25.3,27.9,10.9,14.1,23.4,56.2,6.4,59592.0,848.0,Oignon
Boeny,13.0,12,0,28.2,24.7,21.7,15.4,20.2,54.0,6.2,36876.0,1003.0,Arachide
Vakinankaratra,1440.0,5,1,36.1,33.3,28.2,15.2,14.8,72.5,6.2,38555.0,626.0,Pomme_de_Terre
Vakinankaratra,1963.0,5,1,36.1,33.3,28.2,15.2,20.5,71.1,5.9,40521.0,549.0,Pomme_de_Terre
Menabe,25.0,12,0,23.9,28.2,16.9,14.4,34.5,73.8,6.0,56394.0,891.0,Riz_Plateau
Boeny,197.0,7,1,28.2,24.7,21.7,15.4,30.0,86.5,6.0,64939.0,406.0,Riz_Decrue
Atsimo-Andrefana,64.0,7,1,25.3,27.9,10.9,14.1,23.3,57.4,7.1,62185.0,1475.0,Pois_du_Cap
Vakinankaratra,1506.0,7,1,36.1,33.3,28.2,15.2,21.2,56.9,6.3,37400.0,1085.0,Oignon
Menabe,152.0,6,1,23.9,28.2,16.9,14.4,31.5,89.5,5.4,64135.0,1012.0,Riz_Decrue
Atsimo-Andrefana,374.0,5,1,25.3,27.9,10.9,14.1,29.1,36.9,6.7,46091.0,1876.0,Pois_du_Cap
Analanjirofo,15.0,11,0,54.8,35.0,29.5,18.5,23.5,94.5,6.2,49336.0,753.0,Banane
Androy,290.0,5,1,14.8,24.7,10.9,22.8,26.4,42.0,5.7,46184.0,1247.0,Sorgho_CS
Analanjirofo,363.0,11,0,54.8,35.0,29.5,18.5,27.6,88.2,6.1,52930.0,813.0,Banane
Vakinankaratra,1502.0,5,1,36.1,33.3,28.2,15.2,19.2,81.2,5.8,38742.0,468.0,Fraise
Atsinanana,25.0,11,0,60.7,39.8,32.2,16.4,24.8,89.2,6.3,39916.0,1142.0,Riz_Bas_Fonds
Atsinanana,9.0,12,0,60.7,39.8,32.2,16.4,29.7,84.3,6.1,52514.0,900.0,Banane
Haute Matsiatra,1562.0,1,0,24.1,24.9,18.2,12.7,29.5,78.4,6.6,64996.0,1101.0,Orange
Atsinanana,348.0,1,0,60.7,39.8,32.2,16.4,33.7,77.7,6.5,64035.0,611.0,Banane
Atsimo-Andrefana,24.0,6,1,25.3,27.9,10.9,14.1,32.1,26.5,5.9,63948.0,1457.0,Sorgho_CS
Analamanga,1258.0,12,0,23.4,27.6,19.5,16.3,32.9,71.1,6.4,64188.0,568.0,Riz_Plateau
Androy,40.0,7,1,14.8,24.7,10.9,22.8,32.4,26.1,6.1,43366.0,1497.0,Sorgho_CS
SAVA,28.0,11,0,64.8,36.6,48.0,20.9,23.3,83.4,5.3,48818.0,674.0,Ananas
Vakinankaratra,1246.0,6,1,36.1,33.3,28.2,15.2,13.7,60.5,6.5,46328.0,538.0,Pomme
Boeny,33.0,11,0,28.2,24.7,21.7,15.4,27.5,57.3,7.5,57874.0,470.0,Mangue
Analamanga,1407.0,6,1,23.4,27.6,19.5,16.3,14.1,74.3,6.5,21952.0,821.0,Pomme_de_Terre
Boeny,70.0,6,1,28.2,24.7,21.7,15.4,23.0,90.5,5.6,60459.0,1119.0,Riz_Decrue
Diana,126.0,1,0,30.8,26.1,20.5,24.4,18.3,72.1,6.3,66562.0,824.0,Orange
Atsimo-Atsinanana,75.0,1,0,49.2,29.9,29.9,18.8,25.7,71.0,6.1,49898.0,1536.0,Maïs
SAVA,132.0,11,0,64.8,36.6,48.0,20.9,23.0,66.8,5.4,46918.0,623.0,Ananas
Haute Matsiatra,1293.0,8,1,24.1,24.9,18.2,12.7,14.3,82.1,6.2,27125.0,534.0,Pomme_de_Terre
Atsimo-Andrefana,126.0,7,1,25.3,27.9,10.9,14.1,25.1,42.5,7.5,55752.0,1890.0,Pois_du_Cap
Analanjirofo,38.0,12,0,54.8,35.0,29.5,18.5,24.5,92.9,5.6,47631.0,746.0,Riz_Bas_Fonds
Haute Matsiatra,1324.0,5,1,24.1,24.9,18.2,12.7,25.1,66.9,6.6,61599.0,1344.0,Tomate
Atsinanana,251.0,11,0,60.7,39.8,32.2,16.4,27.2,73.1,6.0,50996.0,414.0,Litchi
Atsinanana,286.0,9,1,60.7,39.8,32.2,16.4,20.9,76.7,4.6,50368.0,698.0,Ananas
Vakinankaratra,1792.0,7,1,36.1,33.3,28.2,15.2,12.2,62.7,6.0,58526.0,816.0,Pomme
Diana,438.0,12,0,30.8,26.1,20.5,24.4,27.3,65.2,7.1,69114.0,642.0,Mangue
Analamanga,1149.0,5,1,23.4,27.6,19.5,16.3,23.3,78.1,6.3,31047.0,660.0,Fraise
Vakinankaratra,1947.0,8,1,36.1,33.3,28.2,15.2,21.9,72.7,5.7,31809.0,1119.0,Pomme_de_Terre
Vakinankaratra,1970.0,7,1,36.1,33.3,28.2,15.2,26.9,77.7,5.8,35159.0,1727.0,Tomate
Bongolava,1064.0,9,1,24.5,32.2,18.9,13.2,24.3,72.0,5.1,55760.0,495.0,Ananas
Alaotra-Mangoro,855.0,8,1,16.6,25.9,13.3,14.3,23.2,82.3,5.6,59801.0,836.0,Riz_Decrue
Vakinankaratra,1634.0,5,1,36.1,33.3,28.2,15.2,23.5,72.9,6.4,51828.0,616.0,Fraise
Alaotra-Mangoro,936.0,12,0,16.6,25.9,13.3,14.3,24.4,99.1,5.8,51749.0,925.0,Riz_Bas_Fonds
Atsinanana,299.0,10,1,60.7,39.8,32.2,16.4,20.6,74.0,4.5,49727.0,1077.0,Ananas
Menabe,47.0,10,1,23.9,28.2,16.9,14.4,25.5,59.0,6.0,74740.0,707.0,Mangue
Diana,214.0,5,1,30.8,26.1,20.5,24.4,27.4,65.6,6.4,36101.0,1003.0,Oignon
Bongolava,879.0,5,1,24.5,32.2,18.9,13.2,19.0,65.6,7.0,27857.0,497.0,Haricot_CS
Atsimo-Andrefana,347.0,7,1,25.3,27.9,10.9,14.1,24.2,39.3,7.2,51031.0,1940.0,Pois_du_Cap
Betsiboka,4.0,12,0,27.9,23.7,28.2,10.9,21.7,72.5,6.1,49610.0,1691.0,Maïs
Anosy,299.0,6,1,19.2,22.4,16.0,15.2,23.8,61.9,6.4,47221.0,932.0,Oignon
Anosy,81.0,11,0,19.2,22.4,16.0,15.2,28.2,31.4,5.9,56893.0,913.0,Sorgho
Atsinanana,195.0,12,0,60.7,39.8,32.2,16.4,26.5,66.5,5.8,49910.0,764.0,Arachide
Amoron'i Mania,1594.0,7,1,31.1,27.9,19.6,13.9,13.9,67.9,6.3,37834.0,590.0,Pomme_de_Terre
Vakinankaratra,1382.0,4,0,36.1,33.3,28.2,15.2,22.1,81.3,5.6,51284.0,617.0,Fraise
Vakinankaratra,1878.0,6,1,36.1,33.3,28.2,15.2,10.7,79.7,5.9,50052.0,526.0,Pomme
Itasy,1500.0,4,0,28.4,33.2,25.5,14.3,16.0,58.2,6.3,37113.0,353.0,Haricot_CS
Vakinankaratra,1605.0,6,1,36.1,33.3,28.2,15.2,18.8,77.1,5.6,33591.0,484.0,Fraise
Menabe,386.0,2,0,23.9,28.2,16.9,14.4,19.8,60.7,6.5,30655.0,760.0,Haricot
Betsiboka,287.0,11,0,27.9,23.7,28.2,10.9,20.3,51.0,6.6,62193.0,1683.0,Maïs
Analamanga,1166.0,6,1,23.4,27.6,19.5,16.3,21.7,77.6,5.6,49811.0,524.0,Fraise
Atsinanana,384.0,6,1,60.7,39.8,32.2,16.4,18.8,51.5,6.5,36401.0,548.0,Oignon
Atsinanana,276.0,10,1,60.7,39.8,32.2,16.4,23.8,71.1,4.7,56577.0,615.0,Ananas
Boeny,212.0,10,1,28.2,24.7,21.7,15.4,33.7,59.1,7.3,53464.0,739.0,Mangue
Diana,278.0,2,0,30.8,26.1,20.5,24.4,24.2,64.8,6.3,69074.0,981.0,Orange
Analanjirofo,215.0,11,0,54.8,35.0,29.5,18.5,30.7,76.3,6.5,56522.0,533.0,Banane
Anosy,69.0,6,1,19.2,22.4,16.0,15.2,24.3,26.7,6.6,52989.0,1122.0,Sorgho_CS
Atsinanana,69.0,12,0,60.7,39.8,32.2,16.4,27.7,85.9,5.8,39010.0,1026.0,Banane
Atsinanana,0.0,11,0,60.7,39.8,32.2,16.4,31.2,76.4,5.4,52579.0,411.0,Litchi
Analanjirofo,145.0,12,0,54.8,35.0,29.5,18.5,20.5,88.0,5.0,57139.0,526.0,Litchi
Vakinankaratra,1747.0,11,0,36.1,33.3,28.2,15.2,28.8,37.3,7.2,64546.0,1185.0,Sorgho
Diana,37.0,1,0,30.8,26.1,20.5,24.4,15.0,53.3,6.3,46929.0,1292.0,Arachide
Atsinanana,305.0,11,0,60.7,39.8,32.2,16.4,25.7,72.1,5.2,50660.0,563.0,Ananas
Itasy,1167.0,6,1,28.4,33.2,25.5,14.3,20.9,59.9,6.7,50822.0,1011.0,Haricot_CS
Diana,321.0,12,0,30.8,26.1,20.5,24.4,25.6,67.8,5.7,55118.0,899.0,Mangue
Haute Matsiatra,1322.0,2,0,24.1,24.9,18.2,12.7,26.5,72.0,6.1,44097.0,671.0,Orange
Analamanga,1255.0,4,0,23.4,27.6,19.5,16.3,19.4,50.4,7.3,45235.0,302.0,Haricot_CS
Menabe,99.0,5,1,23.9,28.2,16.9,14.4,29.9,44.0,6.6,60690.0,649.0,Pois_du_Cap
Itasy,1349.0,12,0,28.4,33.2,25.5,14.3,19.2,45.7,5.7,59413.0,1100.0,Arachide
Haute Matsiatra,1436.0,1,0,24.1,24.9,18.2,12.7,13.1,78.4,6.2,30918.0,860.0,Haricot
Diana,287.0,2,0,30.8,26.1,20.5,24.4,29.2,56.5,6.8,60995.0,901.0,Orange
Vakinankaratra,1648.0,6,1,36.1,33.3,28.2,15.2,23.0,78.4,6.2,54976.0,1382.0,Tomate
Diana,186.0,2,0,30.8,26.1,20.5,24.4,18.1,55.8,6.2,69569.0,822.0,Orange
Vakinankaratra,1733.0,12,0,36.1,33.3,28.2,15.2,21.6,68.1,5.7,35754.0,751.0,Arachide
Bongolava,825.0,12,0,24.5,32.2,18.9,13.2,30.3,81.8,5.7,55340.0,1294.0,Banane
Anosy,338.0,12,0,19.2,22.4,16.0,15.2,30.0,73.6,6.9,41693.0,388.0,Haricot
Atsinanana,286.0,11,0,60.7,39.8,32.2,16.4,26.8,80.3,5.5,53199.0,780.0,Litchi
Sofia,235.0,5,1,24.8,23.3,16.4,10.2,27.6,56.0,7.0,54619.0,1062.0,Oignon
Menabe,323.0,6,1,23.9,28.2,16.9,14.4,32.0,90.1,5.2,57381.0,749.0,Riz_Decrue
Haute Matsiatra,1305.0,6,1,24.1,24.9,18.2,12.7,16.1,70.7,6.0,36557.0,616.0,Pomme_de_Terre
Haute Matsiatra,1509.0,2,0,24.1,24.9,18.2,12.7,23.9,63.8,6.6,59753.0,541.0,Orange
Analanjirofo,384.0,1,0,54.8,35.0,29.5,18.5,28.1,75.3,6.0,61937.0,747.0,Riz_Plateau
Bongolava,1311.0,12,0,24.5,32.2,18.9,13.2,34.9,88.7,5.7,52820.0,807.0,Banane
Atsimo-Andrefana,255.0,12,0,25.3,27.9,10.9,14.1,29.7,75.3,6.6,43910.0,775.0,Haricot
Itasy,1198.0,1,0,28.4,33.2,25.5,14.3,15.9,54.4,6.2,59013.0,1370.0,Arachide
Melaky,195.0,12,0,26.0,23.7,21.3,15.3,24.4,61.1,6.4,30635.0,856.0,Haricot
Melaky,151.0,6,1,26.0,23.7,21.3,15.3,31.2,88.4,5.2,63464.0,661.0,Riz_Decrue
Atsinanana,76.0,7,1,60.7,39.8,32.2,16.4,27.0,61.5,6.0,43908.0,492.0,Oignon
Haute Matsiatra,1306.0,1,0,24.1,24.9,18.2,12.7,24.1,70.2,6.2,67494.0,1186.0,Orange
Boeny,145.0,5,1,28.2,24.7,21.7,15.4,26.9,86.1,5.6,36011.0,539.0,Riz_Decrue
Alaotra-Mangoro,1134.0,1,0,16.6,25.9,13.3,14.3,26.4,56.5,6.3,48776.0,704.0,Arachide
Androy,254.0,5,1,14.8,24.7,10.9,22.8,31.8,40.7,6.5,59773.0,1279.0,Sorgho_CS
Bongolava,820.0,5,1,24.5,32.2,18.9,13.2,22.9,51.1,6.7,48226.0,549.0,Haricot_CS
Sofia,38.0,1,0,24.8,23.3,16.4,10.2,16.5,72.7,6.8,45441.0,593.0,Haricot
Analanjirofo,60.0,1,0,54.8,35.0,29.5,18.5,29.0,83.9,6.8,36371.0,1123.0,Banane
Analamanga,1449.0,4,0,23.4,27.6,19.5,16.3,21.4,73.3,6.2,40731.0,520.0,Fraise
Androy,133.0,6,1,14.8,24.7,10.9,22.8,27.4,27.8,6.7,54616.0,1435.0,Sorgho_CS
Menabe,383.0,5,1,23.9,28.2,16.9,14.4,28.0,37.6,6.3,57589.0,638.0,Pois_du_Cap
Boeny,216.0,12,0,28.2,24.7,21.7,15.4,25.4,65.4,6.3,67457.0,534.0,Mangue
Analamanga,1357.0,12,0,23.4,27.6,19.5,16.3,22.8,72.4,6.1,39666.0,863.0,Maïs
SAVA,278.0,12,0,64.8,36.6,48.0,20.9,28.2,86.0,5.9,53819.0,573.0,Litchi
Menabe,381.0,5,1,23.9,28.2,16.9,14.4,26.8,46.7,6.6,42626.0,789.0,Pois_du_Cap
Androy,222.0,5,1,14.8,24.7,10.9,22.8,31.2,43.5,6.6,40422.0,706.0,Sorgho_CS
Bongolava,823.0,12,0,24.5,32.2,18.9,13.2,24.3,51.7,6.3,58660.0,1476.0,Sorgho
Anosy,131.0,1,0,19.2,22.4,16.0,15.2,31.9,65.1,6.8,45681.0,761.0,Arachide
Analamanga,1171.0,12,0,23.4,27.6,19.5,16.3,22.5,58.1,5.6,49406.0,699.0,Arachide
Haute Matsiatra,1581.0,1,0,24.1,24.9,18.2,12.7,22.1,67.2,6.7,52445.0,645.0,Orange
Boeny,22.0,12,0,28.2,24.7,21.7,15.4,16.1,61.7,5.8,45727.0,892.0,Arachide
SAVA,377.0,10,1,64.8,36.6,48.0,20.9,20.8,65.7,5.0,58414.0,724.0,Ananas
Atsimo-Andrefana,122.0,6,1,25.3,27.9,10.9,14.1,28.1,49.8,7.0,61446.0,1391.0,Pois_du_Cap
Analanjirofo,201.0,12,0,54.8,35.0,29.5,18.5,30.6,73.8,5.4,66641.0,583.0,Litchi
Menabe,278.0,11,0,23.9,28.2,16.9,14.4,28.4,48.7,6.6,59636.0,467.0,Mangue
Sofia,592.0,5,1,24.8,23.3,16.4,10.2,31.0,91.6,5.7,42942.0,917.0,Riz_Decrue
Haute Matsiatra,1065.0,2,0,24.1,24.9,18.2,12.7,21.4,63.7,6.3,61563.0,1005.0,Orange
Betsiboka,452.0,6,1,27.9,23.7,28.2,10.9,22.4,93.9,5.8,57113.0,1528.0,Riz_Decrue
Itasy,1371.0,12,0,28.4,33.2,25.5,14.3,26.1,93.1,5.8,35141.0,1133.0,Riz_Bas_Fonds
Vakinankaratra,1222.0,6,1,36.1,33.3,28.2,15.2,21.4,61.9,6.6,39098.0,752.0,Pomme
Alaotra-Mangoro,810.0,12,0,16.6,25.9,13.3,14.3,25.9,71.1,6.0,39170.0,467.0,Haricot
Analamanga,1505.0,5,1,23.4,27.6,19.5,16.3,16.1,53.0,7.2,53564.0,451.0,Haricot_CS
Anosy,303.0,6,1,19.2,22.4,16.0,15.2,24.8,45.6,5.9,48007.0,1961.0,Sorgho_CS
Vakinankaratra,1441.0,5,1,36.1,33.3,28.2,15.2,19.9,71.3,5.8,25735.0,627.0,Fraise
Melaky,270.0,12,0,26.0,23.7,21.3,15.3,29.9,63.4,6.7,35782.0,576.0,Arachide
Itasy,1600.0,2,0,28.4,33.2,25.5,14.3,20.7,60.5,6.4,44940.0,1225.0,Orange
Atsinanana,237.0,12,0,60.7,39.8,32.2,16.4,30.6,86.7,6.4,57746.0,308.0,Litchi
Atsinanana,92.0,11,0,60.7,39.8,32.2,16.4,29.3,93.4,6.7,55002.0,916.0,Banane
Itasy,1261.0,2,0,28.4,33.2,25.5,14.3,21.0,79.7,6.1,42796.0,1096.0,Orange
Anosy,144.0,8,1,19.2,22.4,16.0,15.2,25.2,67.6,6.5,53638.0,1165.0,Oignon
Analamanga,1187.0,7,1,23.4,27.6,19.5,16.3,14.0,76.4,6.4,44832.0,918.0,Pomme_de_Terre
Ihorombe,1076.0,12,0,15.9,28.1,12.1,17.6,22.5,72.1,6.9,53863.0,1515.0,Maïs
Analanjirofo,308.0,1,0,54.8,35.0,29.5,18.5,28.2,82.6,6.1,52014.0,535.0,Banane
Androy,224.0,5,1,14.8,24.7,10.9,22.8,25.8,45.2,5.7,42826.0,1529.0,Sorgho_CS
Menabe,121.0,12,0,23.9,28.2,16.9,14.4,31.9,49.6,6.8,39205.0,1385.0,Arachide
SAVA,289.0,11,0,64.8,36.6,48.0,20.9,22.9,77.3,6.4,65037.0,303.0,Litchi
Menabe,155.0,1,0,23.9,28.2,16.9,14.4,19.3,69.8,6.4,55039.0,710.0,Arachide
Atsinanana,254.0,11,0,60.7,39.8,32.2,16.4,34.8,72.8,6.4,52242.0,775.0,Riz_Plateau
Itasy,1225.0,10,1,28.4,33.2,25.5,14.3,26.6,49.5,6.2,56159.0,996.0,Sorgho
Analanjirofo,83.0,11,0,54.8,35.0,29.5,18.5,24.0,73.1,6.3,60351.0,449.0,Litchi
Diana,36.0,1,0,30.8,26.1,20.5,24.4,21.5,59.1,7.1,46008.0,1279.0,Orange
Analamanga,1319.0,7,1,23.4,27.6,19.5,16.3,20.4,72.9,6.5,42432.0,1579.0,Tomate
Menabe,383.0,6,1,23.9,28.2,16.9,14.4,24.4,52.4,6.8,63850.0,721.0,Pois_du_Cap
Vakinankaratra,1934.0,7,1,36.1,33.3,28.2,15.2,18.7,75.8,5.6,26383.0,1157.0,Pomme_de_Terre
Menabe,91.0,7,1,23.9,28.2,16.9,14.4,28.7,81.3,6.3,40371.0,610.0,Riz_Decrue
Atsimo-Atsinanana,477.0,12,0,49.2,29.9,29.9,18.8,30.2,63.3,5.8,50375.0,635.0,Riz_Plateau
Alaotra-Mangoro,1087.0,1,0,16.6,25.9,13.3,14.3,18.9,59.7,6.7,58012.0,564.0,Arachide
Menabe,218.0,6,1,23.9,28.2,16.9,14.4,20.5,35.6,6.6,43572.0,1395.0,Pois_du_Cap
Atsimo-Andrefana,258.0,5,1,25.3,27.9,10.9,14.1,25.6,51.7,6.7,47820.0,1845.0,Pois_du_Cap
Alaotra-Mangoro,1049.0,8,1,16.6,25.9,13.3,14.3,23.4,85.6,5.9,64178.0,688.0,Riz_Decrue
Betsiboka,338.0,6,1,27.9,23.7,28.2,10.9,26.5,80.9,5.6,57188.0,424.0,Riz_Decrue
Bongolava,1324.0,11,0,24.5,32.2,18.9,13.2,25.3,88.8,5.9,63586.0,1270.0,Banane
Itasy,1119.0,11,0,28.4,33.2,25.5,14.3,22.6,36.8,6.3,49512.0,1682.0,Sorgho
Itasy,1250.0,5,1,28.4,33.2,25.5,14.3,23.2,73.6,5.8,40339.0,887.0,Fraise
Diana,235.0,11,0,30.8,26.1,20.5,24.4,26.1,56.7,6.4,66504.0,411.0,Mangue
Itasy,1590.0,7,1,28.4,33.2,25.5,14.3,19.6,68.8,5.5,59640.0,1167.0,Tomate
Itasy,1195.0,5,1,28.4,33.2,25.5,14.3,12.8,69.1,6.1,32124.0,432.0,Pomme_de_Terre
Haute Matsiatra,1332.0,8,1,24.1,24.9,18.2,12.7,14.8,71.4,5.8,43294.0,1611.0,Pomme_de_Terre
